date,region,channel,activations
2026-07-17,CENTRAL,DIGITAL,107
2026-07-17,WEST,RETAIL,112
2026-07-17,WEST,DIGITAL,117
2026-07-18,NORTHEAST,RETAIL,82
2026-07-18,NORTHEAST,DIGITAL,87
2026-07-18,SOUTHEAST,RETAIL,92
2026-07-18,SOUTHEAST,DIGITAL,97
2026-07-18,CENTRAL,RETAIL,102
2026-07-18,CENTRAL,DIGITAL,107
2026-07-18,WEST,RETAIL,112
2026-07-18,WEST,DIGITAL,117
2026-07-19,NORTHEAST,RETAIL,82
2026-07-19,NORTHEAST,DIGITAL,87
2026-07-19,SOUTHEAST,RETAIL,92
2026-07-19,SOUTHEAST,DIGITAL,97
2026-07-19,CENTRAL,RETAIL,102
2026-07-19,CENTRAL,DIGITAL,107
2026-07-19,WEST,RETAIL,112
2026-07-19,WEST,DIGITAL,117
2026-07-20,NORTHEAST,RETAIL,82
2026-07-20,NORTHEAST,DIGITAL,87
2026-07-20,SOUTHEAST,RETAIL,92
2026-07-20,SOUTHEAST,DIGITAL,97
2026-07-20,CENTRAL,RETAIL,102
2026-07-20,CENTRAL,DIGITAL,107
2026-07-20,WEST,RETAIL,112
2026-07-20,WEST,DIGITAL,117
2026-07-21,NORTHEAST,RETAIL,82
2026-07-21,NORTHEAST,DIGITAL,87
2026-07-21,SOUTHEAST,RETAIL,92
2026-07-21,SOUTHEAST,DIGITAL,97
2026-07-21,CENTRAL,RETAIL,102
2026-07-21,CENTRAL,DIGITAL,107
2026-07-21,WEST,RETAIL,112
2026-07-21,WEST,DIGITAL,117
2026-07-22,NORTHEAST,RETAIL,82
2026-07-22,NORTHEAST,DIGITAL,87
2026-07-22,SOUTHEAST,RETAIL,92
2026-07-22,SOUTHEAST,DIGITAL,97
2026-07-22,CENTRAL,RETAIL,102
2026-07-22,CENTRAL,DIGITAL,107
2026-07-22,WEST,RETAIL,112
2026-07-22,WEST,DIGITAL,117
2026-07-23,NORTHEAST,RETAIL,82
2026-07-23,NORTHEAST,DIGITAL,87
2026-07-23,SOUTHEAST,RETAIL,92
2026-07-23,SOUTHEAST,DIGITAL,97
2026-07-23,CENTRAL,RETAIL,102
2026-07-23,CENTRAL,DIGITAL,107
2026-07-23,WEST,RETAIL,112
2026-07-23,WEST,DIGITAL,117
2026-07-24,NORTHEAST,RETAIL,82
2026-07-24,NORTHEAST,DIGITAL,87
2026-07-24,SOUTHEAST,RETAIL,92
2026-07-24,SOUTHEAST,DIGITAL,97
2026-07-24,CENTRAL,RETAIL,102
2026-07-24,CENTRAL,DIGITAL,107
2026-07-24,WEST,RETAIL,112
2026-07-24,WEST,DIGITAL,117
2026-07-25,NORTHEAST,RETAIL,82
2026-07-25,NORTHEAST,DIGITAL,87
2026-07-25,SOUTHEAST,RETAIL,92
2026-07-25,SOUTHEAST,DIGITAL,97
2026-07-25,CENTRAL,RETAIL,102
2026-07-25,CENTRAL,DIGITAL,107
2026-07-25,WEST,RETAIL,112
2026-07-25,WEST,DIGITAL,117
2026-07-26,NORTHEAST,RETAIL,82
2026-07-26,NORTHEAST,DIGITAL,87
2026-07-26,SOUTHEAST,RETAIL,92
2026-07-26,SOUTHEAST,DIGITAL,97
2026-07-26,CENTRAL,RETAIL,102
2026-07-26,CENTRAL,DIGITAL,107
2026-07-26,WEST,RETAIL,112
2026-07-26,WEST,DIGITAL,117
2026-07-27,NORTHEAST,RETAIL,82
2026-07-27,NORTHEAST,DIGITAL,87
2026-07-27,SOUTHEAST,RETAIL,92
2026-07-27,SOUTHEAST,DIGITAL,97
2026-07-27,CENTRAL,RETAIL,102
2026-07-27,CENTRAL,DIGITAL,107
2026-07-27,WEST,RETAIL,112
2026-07-27,WEST,DIGITAL,117
2026-07-28,NORTHEAST,RETAIL,82
2026-07-28,NORTHEAST,DIGITAL,87
2026-07-28,SOUTHEAST,RETAIL,92
2026-07-28,SOUTHEAST,DIGITAL,97
2026-07-28,CENTRAL,RETAIL,102
2026-07-28,CENTRAL,DIGITAL,107
2026-07-28,WEST,RETAIL,112
2026-07-28,WEST,DIGITAL,117
2026-07-29,NORTHEAST,RETAIL,82
2026-07-29,NORTHEAST,DIGITAL,87
2026-07-29,SOUTHEAST,RETAIL,92
2026-07-29,SOUTHEAST,DIGITAL,97
2026-07-29,CENTRAL,RETAIL,102
2026-07-29,CENTRAL,DIGITAL,107
2026-07-29,WEST,RETAIL,112
2026-07-29,WEST,DIGITAL,117
2026-07-30,NORTHEAST,RETAIL,82
2026-07-30,NORTHEAST,DIGITAL,87
2026-07-30,SOUTHEAST,RETAIL,92
2026-07-30,SOUTHEAST,DIGITAL,97
2026-07-30,CENTRAL,RETAIL,102
2026-07-30,CENTRAL,DIGITAL,107
2026-07-30,WEST,RETAIL,112
2026-07-30,WEST,DIGITAL,117
2026-07-31,NORTHEAST,RETAIL,82
2026-07-31,NORTHEAST,DIGITAL,87
2026-07-31,SOUTHEAST,RETAIL,92
2026-07-31,SOUTHEAST,DIGITAL,97
2026-07-31,CENTRAL,RETAIL,102
2026-07-31,CENTRAL,DIGITAL,107
2026-07-31,WEST,RETAIL,112
2026-07-31,WEST,DIGITAL,117
